Year,Round,SeedDiff,Team1,Team2,Team1Wins
2015,2,22,Kentucky,Cincinnati,1
2015,2,14,Utah,Georgetown,1
2015,2,10,Wichita St.,Kansas,1
2015,2,10,Michigan St.,Virginia,1
2015,2,16,Louisville,Northern Iowa,1
2015,2,14,West Virginia,Maryland,1
2015,2,22,Wisconsin,Oregon,1
2015,2,22,Duke,San Diego St.,1
2015,2,20,Gonzaga,Iowa,1
2015,2,23,Oklahoma,Dayton,1
2015,1,16,Cincinnati,Purdue,1
2015,1,22,West Virginia,Buffalo,1
2015,1,24,Maryland,Valparaiso,1
2015,1,20,Butler,Texas,1
2015,1,26,Notre Dame,Northeastern,1
2015,1,18,Wichita St.,Indiana,1
2015,1,28,Kansas,New Mexico St.,1
2015,1,30,Villanova,Lafayette,1
2015,1,16,North Carolina St.,LSU,1
2015,1,22,Northern Iowa,Wyoming,1
2015,1,24,Louisville,UC Irvine,1
2015,1,26,Oklahoma,Albany (N.Y.),1
2015,1,18,Michigan St.,Georgia,1
2015,1,28,Virginia,Belmont,1
2015,1,30,Wisconsin,Coastal Carolina,1
2015,1,16,Oregon,Oklahoma St.,1
2015,1,24,North Carolina,Harvard,1
2015,1,4,Georgia St.,Baylor,1
2015,1,12,Ohio St.,Virginia Commonwealth,1
2015,1,28,Arizona,Texas Southern,1
2015,1,16,San Diego St.,St. John's,1
2015,1,22,Utah,Stephen F. Austin,1
2015,1,24,Georgetown,Eastern Washington,1
2015,1,10,UCLA,Southern Methodist,1
2015,1,4,Alabama-Birmingham,Iowa St.,1
2015,1,18,Iowa,Davidson,1
2015,1,28,Gonzaga,North Dakota St.,1
2015,1,30,Kentucky,Hampton,1
2015,1,20,Xavier,Mississippi,1
2015,1,10,Dayton,Providence,1
2015,1,30,Duke,Robert Morris,1
2015,1,22,Arkansas,Wofford,1
2015,0,15,Hampton,Manhattan,1
2015,0,15,Mississippi,Brigham Young,1
2015,0,15,Robert Morris,North Florida,1
2015,0,15,Dayton,Boise St.,1
2014,6,16,Connecticut,Kentucky,1
2014,5,9,Connecticut,Florida,1
2014,5,9,Kentucky,Wisconsin,1
2014,4,25,Florida,Dayton,1
2014,4,14,Wisconsin,Arizona,1
2014,4,12,Connecticut,Michigan St.,1
2014,4,9,Kentucky,Michigan,1
2014,3,18,Florida,UCLA,1
2014,3,11,Kentucky,Louisville,1
2014,3,24,Michigan,Tennessee,1
2014,3,18,Arizona,San Diego St.,1
2014,3,14,Dayton,Stanford,1
2014,3,19,Wisconsin,Baylor,1
2014,3,12,Michigan St.,Virginia,1
2014,3,11,Connecticut,Iowa St.,1
2014,2,7,Dayton,Syracuse,1
2014,2,20,Wisconsin,Oregon,1
2014,2,23,Florida,Pittsburgh,1
2014,2,23,Michigan St.,Harvard,1
2014,2,20,Michigan,Texas,1
2014,2,10,Connecticut,Villanova,1
2014,2,16,Louisville,St. Louis,1
2014,2,23,San Diego St.,North Dakota St.,1
2014,2,18,Tennessee,Mercer,1
2014,2,12,Baylor,Creighton,1
2014,2,7,Stanford,Kansas,1
2014,2,22,Arizona,Gonzaga,1
2014,2,22,Virginia,Memphis,1
2014,2,18,Iowa St.,North Carolina,1
2014,2,8,Kentucky,Wichita St.,1
2014,2,23,UCLA,Stephen F. Austin,1
2014,1,30,Florida,Albany (N.Y.),1
2014,1,16,Gonzaga,Oklahoma St.,1
2014,1,14,Pittsburgh,Colorado,1
2014,1,8,North Dakota St.,Oklahoma,1
2014,1,8,Stephen F. Austin,Virginia Commonwealth,1
2014,1,24,San Diego St.,New Mexico St.,1
2014,1,24,UCLA,Tulsa,1
2014,1,20,Baylor,Nebraska,1
2014,1,10,Dayton,Ohio St.,1
2014,1,26,Creighton,Louisiana-Lafayette,1
2014,1,26,Syracuse,Western Michigan,1
2014,1,18,Oregon,Brigham Young,1
2014,1,12,Stanford,New Mexico,1
2014,1,28,Kansas,Eastern Kentucky,1
2014,1,28,Wisconsin,American,1
2014,1,30,Virginia,Coastal Carolina,1
2014,1,16,Memphis,George Washington,1
2014,1,8,Harvard,Cincinnati,1
2014,1,24,Michigan St.,Delaware,1
2014,1,20,North Carolina,Providence,1
2014,1,30,Wichita St.,Cal-Poly,1
2014,1,16,Kentucky,Kansas St.,1
2014,1,26,Iowa St.,North Carolina Central,1
2014,1,22,St. Louis,North Carolina St.,1
2014,1,18,Connecticut,St. Joseph's,1
2014,1,28,Villanova,Milwaukee,1
2014,1,24,Louisville,Manhattan,1
2014,1,10,Tennessee,Massachusetts,1
2014,1,4,Mercer,Duke,1
2014,1,18,Texas,Arizona St.,1
2014,1,28,Michigan,Wofford,1
2014,1,30,Arizona,Weber St.,1
2014,0,15,Albany (N.Y.),Mount St. Mary's,1
2014,0,15,Cal-Poly,Texas Southern,1
2014,0,15,North Carolina St.,Xavier,1
2014,0,15,Tennessee,Iowa,1
2013,6,18,Louisville,Michigan,1
2013,5,15,Michigan,Syracuse,1
2013,5,23,Louisville,Wichita St.,1
2013,4,14,Syracuse,Marquette,1
2013,4,8,Wichita St.,Ohio St.,1
2013,4,16,Louisville,Duke,1
2013,4,14,Michigan,Florida,1
2013,3,12,Michigan,Kansas,1
2013,3,16,Duke,Michigan St.,1
2013,3,26,Louisville,Oregon,1
2013,3,19,Ohio St.,Arizona,1
2013,3,14,Marquette,Miami (Fla.),1
2013,3,19,Wichita St.,La Salle,1
2013,3,12,Syracuse,Indiana,1
2013,3,27,Florida,Florida Gulf Coast,1
2013,2,18,Michigan St.,Memphis,1
2013,2,18,Marquette,Butler,1
2013,2,7,Wichita St.,Gonzaga,1
2013,2,7,Oregon,St. Louis,1
2013,2,22,Louisville,Colorado St.,1
2013,2,16,Michigan,Virginia Commonwealth,1
2013,2,23,Arizona,Harvard,1
2013,2,23,Syracuse,California,1
2013,2,20,Duke,Creighton,1
2013,2,14,La Salle,Mississippi,1
2013,2,23,Indiana,Temple,1
2013,2,20,Miami (Fla.),Illinois,1
2013,2,7,Florida Gulf Coast,San Diego St.,1
2013,2,23,Ohio St.,Iowa St.,1
2013,2,22,Kansas,North Carolina,1
2013,2,23,Florida,Minnesota,1
2013,1,30,Louisville,North Carolina A&T,1
2013,1,16,Colorado St.,Missouri,1
2013,1,8,Oregon,Oklahoma St.,1
2013,1,24,St. Louis,New Mexico St.,1
2013,1,20,Memphis,St. Mary's (Cal.),1
2013,1,26,Michigan St.,Valparaiso,1
2013,1,30,Kansas,Western Kentucky,1
2013,1,18,Creighton,Cincinnati,1
2013,1,28,Duke,Albany (N.Y.),1
2013,1,16,North Carolina,Villanova,1
2013,1,22,Virginia Commonwealth,Akron,1
2013,1,24,Michigan,South Dakota St.,1
2013,1,10,Minnesota,UCLA,1
2013,1,26,Florida,Northwestern St.,1
2013,1,18,San Diego St.,Oklahoma,1
2013,1,2,Florida Gulf Coast,Georgetown,1
2013,1,30,Gonzaga,Southern,1
2013,1,30,Indiana,James Madison,1
2013,1,14,Wichita St.,Pittsburgh,1
2013,1,14,Temple,North Carolina St.,1
2013,1,8,Mississippi,Wisconsin,1
2013,1,8,California,UNLV,1
2013,1,6,La Salle,Kansas St.,1
2013,1,24,Syracuse,Montana,1
2013,1,20,Butler,Bucknell,1
2013,1,26,Marquette,Davidson,1
2013,1,18,Illinois,Colorado,1
2013,1,20,Arizona,Belmont,1
2013,1,28,Miami (Fla.),Pacific,1
2013,1,4,Harvard,New Mexico,1
2013,1,12,Iowa St.,Notre Dame,1
2013,1,28,Ohio St.,Iona,1
2013,0,15,North Carolina A&T,Liberty,1
2013,0,15,St. Mary's (Cal.),Middle Tennessee St.,1
2013,0,15,James Madison,Long Island,1
2013,0,15,La Salle,Boise St.,1
2012,6,16,Kentucky,Kansas,1
2012,5,18,Kentucky,Louisville,1
2012,5,15,Kansas,Ohio St.,1
2012,4,17,Kentucky,Baylor,1
2012,4,14,Kansas,North Carolina,1
2012,4,18,Louisville,Florida,1
2012,4,14,Ohio St.,Syracuse,1
2012,3,22,Baylor,Xavier,1
2012,3,27,North Carolina,Ohio,1
2012,3,18,Kentucky,Indiana,1
